"date","city","state","shape","duration","summary","posted"
"10/15/15 22:45","Jönköping (Sweden)",NA,"Sphere","6 minutes","10 flying object on the same level as the stars.","10/16/15"
"10/13/15 19:50","Nelson (New Zealand)",NA,"Other","1 minute","3 weird flying things fly over the sea in front of us.","10/16/15"
"10/13/15 00:55","Broomfield",NA,"","2-5 seconds","Multiple lights 12-15 in a v shape flying very fast at a high altitude at 00:55 Mtn std time. 100% sure I witness something.","10/16/15"
"10/9/15 17:30","Cavite (Philippines)",NA,"Oval","10 seconds","The object is big.","10/16/15"
"10/9/15","Stroud (UK/England)",NA,"Disk","10","Massive spaceship appeared from nowhere in sky!?!.","10/9/15"
"10/8/15 22:00","((Unspecified by witness))",NA,"Cylinder","40 seconds","I saw a bright green cylinder shape craft with bright red lights. It was hovering in the night sky. Then jotted forward and hovered.","10/9/15"
"10/8/15 21:00","Rahim Yar Khan (Pakistan)",NA,"Flash","30 minutes","Just see moving light on sky. Coming from surface to sky. I think it has been seen throughout country. It was moving slowly from south.","10/9/15"
"10/8/15 18:10","Dhaka (Bangladesh)",NA,"Circle","30 seconds","Couple of pictrues were taken of the street view of a busy shopping area of Dhaka, Bangladesh by a Samsung mobile phone from the roofto","10/16/15"
"10/7/15 18:50","Molde (Norway)",NA,"Oval","80 minutes","UFO filmed At Fish Farm In Molde, Norway – 7 October, 2015. ((NUFORC Note: Video shows light on other side of water. PD))","10/16/15"
"10/6/15 20:05","County Meath Kells (Ireland)",NA,"Light","20 minutes","my mum called me to record as she couldnt leave the window and her camera battery was dead. she saw 10 + lights slowly and silently ris","10/9/15"
"10/1/15 19:00","Hull (East Yorkshire) (UK/England)",NA,"Light","10 minutes","Three fast moving, erratic, red lights in the night sky.","10/2/15"
"9/30/15 19:25","Birmingham (UK/England)",NA,"Sphere","1935","I was on the way to work walkinguohurst lane north I saw an orange fire in the sky a bal of fire like a charriot then others followed i","10/2/15"
"9/29/15 21:00","Dettighofen (Germany)",NA,"Fireball","15 seconds","Small craft eject from fire ball falling.","10/2/15"
"9/29/15 04:25","Ampthill (UK/England)",NA,"Changing",">3 hours","I have seen this same ufo light nearly every morning for over 10 weeks. ((NUFORC Note: Venus? PD))","10/2/15"
"9/28/15 04:52","London (Ealing Broadway)(UK/England)",NA,"Chevron","1 minute","Firstly... Hi Peter, I feel like I know you as I listen to you chatting to George Noory on C2C. First time I have a reason to communica","9/29/15"
